State,2018,2019,2020,2021,2022,Percentage Change
Alabama,4040389,4447207,4780118,5024294,5108468,1.75
Alaska,560043,629353,710246,733374,743386,1.37
Arizona,3665339,5130247,6392292,7157490,7451344,3.89
Arkansas,2350654,2739603,2916203,3011890,3167024,5.08
California,29811427,33871653,37254522,39538223,38866193,-1.74
Colorado,3294473,4306080,5029719,5773714,6175867,6.95
Connecticut,3287116,3405559,3574151,3806919,3617716,-0.33
Delaware,968863,755599,887947,949386,1031890,4.52
District of Columbia,606900,572086,801707,689548,678972,-1.55
Florida,12938071,18502571,18604859,21538216,22610726,5.0
Georgia,6478149,8186653,9688737,10713771,11029227,2.95
Hawaii,1108229,1211497,1360804,1455274,1438138,-1.04
Idaho,1006734,1293957,1587658,1839117,1964726,6.88
Illinois,11430602,12419927,12831572,12813469,12689269,-1.21
Indiana,5546158,6200827,6484050,6765442,6862199,1.15
Iowa,2774831,2926538,3064870,3190427,3207840,0.54
Kansas,2477588,2848925,2853120,2937235,2940546,0.11
Kentucky,3686892,4039142,4339540,4509367,4526154,0.45
Louisiana,4221268,4469035,4533350,4567785,4573749,0.13
Maine,1227928,1281779,1328504,1375149,1356982,-1.32
Maryland,4780753,5296647,5773787,6177253,6180253,0.05
Massachusetts,6016426,6549384,6547788,7032933,7034863,0.02
Michigan,9295287,9938823,9884112,10077670,10037261,-0.4
Minnesota,4375675,4834691,5003335,5076804,5737915,13.0
Mississippi,2575475,2844754,2968129,2961360,2899606,-2.09
Missouri,5116309,5596354,5988841,6154849,6186156,0.51
Montana,799065,902220,989601,1084244,1132812,4.48
Nebraska,1578471,1711230,1826311,1961894,1978372,0.84
Nevada,1201625,1998250,2700843,3104617,3194056,2.89
New Hampshire,1109252,1235807,1316457,1377524,1402054,1.78
New Jersey,7747750,8414764,8791959,9289039,9290841,0.02
New Mexico,1515069,1819017,2059199,2117525,2143774,1.24
New York,17990778,18377026,19378117,20202320,19571416,-3.12
North Carolina,6832448,8046348,9537726,10459450,10859481,3.82
North Dakota,638800,642237,632275,779079,783926,0.62
Ohio,10847115,11353336,11578763,11799331,11765895,-0.11
Oklahoma,3145567,3450451,3751562,3959471,4053824,2.45
Oregon,2842321,3224534,3381083,3487288,3537949,1.45
Pennsylvania,11082842,12280548,12702891,13002737,12968083,-0.27
Rhode Island,1071148,1102499,1052307,1097371,1065982,-2.86
South Carolina,3486310,4012023,4625358,5188622,5373556,3.57
South Dakota,803645,754863,814198,868886,879318,1.2
Tennessee,4807203,5689427,6346281,6910726,7126489,3.12
Texas,18986305,22201025,26140682,29145609,30029572,3.04
Utah,1722850,2233183,2763891,3271614,3417734,4.47
Vermont,588689,624827,732847,747814,744654,-0.42
Virginia,6189767,7079617,8001046,8631473,8715686,0.97
Washington,5894121,6789183,7865877,8835367,9816824,3.98
West Virginia,1793497,1808143,1683205,1749075,1768745,1.13
Wisconsin,4891769,5453007,5893715,5910033,5974657,1.09
Wyoming,491654,563775,583895,579735,579015,-0.12
Puerto Rico,3522037,3808065,3726157,3286874,3205691,-2.47
